timestamp,run_id,statement_coverage,branch_coverage,function_coverage,total_inputs,coverage_source
2026-04-08 19:29:13,20260408_192818,5.0,5.0,5.0,5,proxy
2026-04-08 19:29:25,20260408_192818,6.0,6.0,6.0,6,proxy
2026-04-08 19:29:38,20260408_192818,7.0,7.0,7.0,7,proxy
2026-04-08 19:29:51,20260408_192818,8.0,8.0,8.0,8,proxy
2026-04-08 19:30:03,20260408_192818,9.0,9.0,9.0,9,proxy
2026-04-08 19:30:20,20260408_192818,10.0,10.0,10.0,10,proxy
2026-04-08 19:40:50,20260408_194050,1.0,1.0,1.0,1,proxy
2026-04-08 19:41:02,20260408_194050,2.0,2.0,2.0,2,proxy
2026-04-08 19:42:47,20260408_194247,1.0,1.0,1.0,1,proxy
2026-04-08 19:43:07,20260408_194247,2.0,2.0,2.0,2,proxy
2026-04-08 19:43:20,20260408_194247,3.0,3.0,3.0,3,proxy
2026-04-08 19:43:33,20260408_194247,4.0,4.0,4.0,4,proxy
2026-04-08 19:43:46,20260408_194247,5.0,5.0,5.0,5,proxy
2026-04-08 19:43:59,20260408_194247,6.0,6.0,6.0,6,proxy
2026-04-08 19:44:12,20260408_194247,6.0,6.0,6.0,7,proxy
2026-04-08 19:44:24,20260408_194247,6.0,6.0,6.0,8,proxy
2026-04-08 19:44:36,20260408_194247,7.0,7.0,7.0,9,proxy
2026-04-08 21:34:40,20260408_213440,1.0,1.0,1.0,1,proxy
2026-04-08 21:35:14,20260408_213440,2.0,2.0,2.0,2,proxy
2026-04-08 21:35:27,20260408_213440,3.0,3.0,3.0,3,proxy
2026-04-08 21:35:41,20260408_213440,3.0,3.0,3.0,4,proxy
2026-04-08 21:35:52,20260408_213440,4.0,4.0,4.0,5,proxy
2026-04-08 21:38:26,20260408_213826,1.0,1.0,1.0,1,proxy
2026-04-08 21:39:47,20260408_213947,1.0,1.0,1.0,1,proxy
2026-04-08 21:39:52,20260408_213947,2.0,2.0,2.0,2,proxy
2026-04-08 21:46:54,20260408_214654,42.86,24.29,37.97,1,instrumented
2026-04-08 21:47:33,20260408_214654,42.86,24.29,37.97,2,instrumented
2026-04-08 21:47:46,20260408_214654,37.24,15.71,31.58,3,instrumented
2026-04-08 21:47:59,20260408_214654,36.22,14.29,30.45,4,instrumented
2026-04-08 21:48:11,20260408_214654,42.86,24.29,37.97,5,instrumented
2026-04-08 21:48:24,20260408_214654,42.86,24.29,37.97,6,instrumented
